时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,471.0,0.0229,0.576,0.873,-0.025,0.418,89.0,90.0,89.0,86.0,94.0,99.0,96.0,92.0,98.0,98.0,94.0,89.0,89.0,91.0,91.0,89.0,83.0,79.0,84.0,81.0,80.0,79.0,78.0,78.0,77.0,75.0,76.0,73.0,,,82.0,81.0,78.0,76.0,,,93.0,89.0,88.0,84.0,84.0,82.0,79.0,78.0,93.0,91.0,88.0,86.0,84.0,83.0,80.0,79.0,87.0,86.0,86.0,85.0,83.0,81.0,79.0,79.0,84.0,83.0,84.0,83.0,83.0,81.0,78.0,78.0,81.0,82.0,79.0,80.0,81.0,79.0,78.0,78.0,80.0,81.0,77.0,79.0,80.0,80.0,78.0,78.0,81.0,80.0,78.0,80.0,80.0,79.0,76.0,77.0,82.0,80.0,77.0,78.0,77.0,77.0,75.0,73.0,81.0,78.0,76.0,76.0,76.0,75.0,74.0,74.0,78.0,76.0,74.0,74.0,73.0,73.0,71.0,73.0,77.0,75.0,71.0,71.0,71.0,70.0,69.0,72.0,75.0,74.0,70.0,71.0,65.0,66.0,66.0,69.0,74.0,72.0,68.0,67.0,63.0,61.0,62.0,62.0,70.0,69.0,65.0,64.0,60.0,58.0,56.0,56.0,65.0,60.0,62.0,60.0,,,,,,,,,85.77777777777777,82.05,76.55,66.0
1.0,,471.0,0.0229,0.563,0.844,-0.025,0.418,88.0,90.0,88.0,86.0,93.0,98.0,95.0,92.0,98.0,98.0,94.0,89.0,89.0,91.0,90.0,88.0,82.0,78.0,83.0,81.0,80.0,79.0,78.0,78.0,77.0,75.0,76.0,73.0,,,81.0,81.0,78.0,75.0,,,93.0,89.0,88.0,83.0,84.0,82.0,79.0,78.0,93.0,91.0,88.0,85.0,83.0,82.0,80.0,79.0,87.0,86.0,85.0,85.0,82.0,81.0,79.0,79.0,84.0,83.0,84.0,83.0,83.0,81.0,78.0,78.0,81.0,82.0,79.0,80.0,81.0,78.0,77.0,78.0,80.0,80.0,77.0,78.0,80.0,79.0,78.0,78.0,81.0,80.0,77.0,79.0,79.0,78.0,75.0,77.0,82.0,80.0,77.0,78.0,77.0,77.0,74.0,73.0,80.0,78.0,76.0,76.0,76.0,75.0,74.0,74.0,78.0,76.0,74.0,74.0,73.0,72.0,71.0,73.0,77.0,75.0,71.0,71.0,71.0,70.0,69.0,72.0,75.0,74.0,70.0,70.0,65.0,65.0,66.0,69.0,74.0,72.0,68.0,67.0,63.0,61.0,62.0,61.0,70.0,69.0,65.0,64.0,60.0,57.0,56.0,56.0,65.0,60.0,62.0,60.0,,,,,,,,,85.41666666666667,81.825,76.325,65.875
2.0,,471.0,0.0232,0.567,0.737,-0.03,0.418,88.0,90.0,88.0,86.0,93.0,98.0,95.0,91.0,97.0,97.0,93.0,89.0,89.0,90.0,90.0,88.0,82.0,78.0,83.0,80.0,80.0,79.0,78.0,77.0,76.0,75.0,76.0,73.0,,,81.0,81.0,78.0,75.0,,,92.0,89.0,88.0,83.0,83.0,82.0,79.0,77.0,93.0,90.0,88.0,85.0,83.0,82.0,80.0,79.0,88.0,86.0,85.0,85.0,82.0,81.0,79.0,78.0,83.0,83.0,83.0,83.0,82.0,81.0,78.0,78.0,82.0,82.0,79.0,80.0,81.0,78.0,77.0,78.0,79.0,80.0,77.0,78.0,80.0,79.0,77.0,78.0,81.0,80.0,77.0,79.0,79.0,78.0,75.0,77.0,81.0,79.0,77.0,77.0,76.0,77.0,74.0,73.0,80.0,78.0,76.0,76.0,76.0,75.0,74.0,73.0,78.0,75.0,74.0,73.0,72.0,72.0,71.0,73.0,76.0,75.0,71.0,71.0,71.0,70.0,69.0,71.0,74.0,74.0,70.0,70.0,65.0,65.0,66.0,69.0,73.0,72.0,67.0,67.0,63.0,61.0,61.0,61.0,70.0,69.0,65.0,64.0,60.0,57.0,56.0,56.0,64.0,59.0,61.0,59.0,,,,,,,,,85.16666666666667,81.675,76.075,65.59375
3.0,,471.0,0.0227,0.542,0.725,-0.025,0.418,87.0,89.0,88.0,85.0,93.0,97.0,95.0,91.0,97.0,97.0,93.0,88.0,89.0,90.0,90.0,88.0,82.0,78.0,83.0,80.0,80.0,79.0,78.0,77.0,76.0,75.0,76.0,73.0,,,81.0,80.0,78.0,75.0,,,92.0,88.0,88.0,83.0,83.0,82.0,79.0,77.0,92.0,90.0,88.0,85.0,83.0,82.0,79.0,78.0,87.0,85.0,85.0,84.0,82.0,80.0,78.0,78.0,83.0,82.0,83.0,83.0,82.0,81.0,78.0,78.0,81.0,81.0,79.0,79.0,80.0,78.0,77.0,77.0,79.0,80.0,77.0,78.0,80.0,79.0,77.0,77.0,81.0,80.0,77.0,79.0,79.0,78.0,75.0,76.0,81.0,79.0,76.0,77.0,76.0,77.0,74.0,72.0,80.0,77.0,75.0,76.0,75.0,74.0,73.0,73.0,78.0,75.0,74.0,73.0,72.0,72.0,71.0,73.0,76.0,75.0,71.0,70.0,70.0,70.0,69.0,71.0,74.0,74.0,70.0,70.0,65.0,65.0,66.0,68.0,73.0,72.0,67.0,67.0,63.0,61.0,61.0,61.0,70.0,68.0,64.0,64.0,60.0,57.0,56.0,56.0,64.0,59.0,61.0,59.0,,,,,,,,,84.97222222222223,81.325,75.825,65.46875
4.0,,471.0,0.0231,0.533,0.743,-0.025,0.445,87.0,88.0,87.0,85.0,92.0,97.0,94.0,90.0,96.0,96.0,92.0,88.0,88.0,90.0,90.0,88.0,82.0,78.0,83.0,80.0,79.0,79.0,77.0,77.0,76.0,74.0,75.0,72.0,,,81.0,80.0,78.0,75.0,,,91.0,88.0,87.0,82.0,83.0,82.0,79.0,77.0,92.0,89.0,87.0,84.0,82.0,81.0,79.0,78.0,86.0,85.0,84.0,84.0,82.0,80.0,78.0,78.0,83.0,82.0,83.0,83.0,82.0,80.0,77.0,77.0,80.0,81.0,78.0,79.0,80.0,78.0,77.0,77.0,79.0,80.0,76.0,78.0,80.0,79.0,77.0,77.0,80.0,79.0,76.0,79.0,78.0,77.0,75.0,76.0,81.0,79.0,76.0,77.0,76.0,76.0,74.0,72.0,79.0,77.0,75.0,76.0,75.0,74.0,73.0,73.0,77.0,75.0,74.0,73.0,72.0,72.0,70.0,72.0,76.0,74.0,71.0,70.0,70.0,70.0,69.0,71.0,74.0,73.0,69.0,70.0,65.0,65.0,66.0,68.0,73.0,71.0,67.0,67.0,62.0,61.0,61.0,61.0,70.0,68.0,64.0,64.0,60.0,57.0,56.0,56.0,64.0,58.0,61.0,59.0,,,,,,,,,84.5,81.0,75.55,65.3125
5.0,,471.0,0.0228,0.516,0.714,-0.025,0.438,87.0,88.0,87.0,85.0,92.0,96.0,93.0,90.0,95.0,95.0,92.0,88.0,88.0,89.0,89.0,87.0,81.0,77.0,82.0,79.0,79.0,78.0,77.0,77.0,76.0,74.0,75.0,72.0,,,80.0,80.0,77.0,75.0,,,91.0,87.0,87.0,82.0,82.0,81.0,78.0,76.0,91.0,89.0,87.0,84.0,82.0,81.0,79.0,78.0,86.0,85.0,84.0,84.0,82.0,80.0,78.0,78.0,82.0,82.0,83.0,83.0,82.0,80.0,77.0,77.0,80.0,81.0,78.0,79.0,80.0,77.0,76.0,77.0,78.0,79.0,76.0,78.0,79.0,79.0,77.0,77.0,80.0,79.0,76.0,79.0,78.0,77.0,75.0,76.0,80.0,78.0,76.0,76.0,76.0,76.0,74.0,72.0,79.0,77.0,75.0,75.0,75.0,74.0,73.0,73.0,76.0,75.0,74.0,73.0,72.0,72.0,70.0,72.0,75.0,74.0,70.0,70.0,70.0,70.0,68.0,70.0,73.0,73.0,69.0,70.0,65.0,65.0,65.0,68.0,72.0,71.0,67.0,67.0,62.0,61.0,61.0,61.0,69.0,68.0,64.0,63.0,59.0,56.0,56.0,56.0,63.0,57.0,61.0,59.0,,,,,,,,,84.08333333333333,80.75,75.35,64.96875
6.0,,471.0,0.0228,0.533,0.725,-0.025,0.445,86.0,88.0,86.0,85.0,92.0,96.0,93.0,90.0,95.0,95.0,91.0,87.0,87.0,89.0,88.0,86.0,81.0,77.0,82.0,79.0,79.0,78.0,77.0,77.0,75.0,74.0,75.0,72.0,,,80.0,80.0,77.0,75.0,,,90.0,87.0,87.0,82.0,82.0,81.0,78.0,76.0,91.0,89.0,87.0,84.0,82.0,81.0,79.0,78.0,86.0,84.0,84.0,83.0,81.0,80.0,78.0,78.0,82.0,82.0,82.0,82.0,82.0,80.0,77.0,77.0,80.0,80.0,78.0,79.0,80.0,77.0,76.0,77.0,78.0,79.0,76.0,77.0,79.0,79.0,77.0,77.0,80.0,79.0,76.0,78.0,78.0,77.0,75.0,76.0,80.0,78.0,76.0,76.0,76.0,76.0,73.0,72.0,78.0,77.0,75.0,75.0,75.0,74.0,73.0,73.0,76.0,75.0,73.0,73.0,71.0,71.0,70.0,72.0,75.0,74.0,70.0,70.0,69.0,70.0,68.0,70.0,73.0,73.0,69.0,70.0,64.0,64.0,65.0,68.0,72.0,71.0,67.0,67.0,62.0,60.0,61.0,61.0,69.0,67.0,63.0,63.0,59.0,56.0,56.0,56.0,63.0,57.0,60.0,58.0,,,,,,,,,83.83333333333333,80.575,75.2,64.71875
7.0,,471.0,0.0223,0.597,0.725,-0.025,0.452,86.0,88.0,86.0,84.0,91.0,96.0,93.0,89.0,94.0,94.0,90.0,87.0,87.0,89.0,88.0,86.0,81.0,77.0,82.0,79.0,79.0,78.0,77.0,77.0,75.0,74.0,75.0,72.0,,,80.0,80.0,77.0,74.0,,,90.0,87.0,86.0,81.0,82.0,81.0,78.0,76.0,91.0,89.0,87.0,84.0,82.0,81.0,79.0,78.0,85.0,84.0,84.0,83.0,81.0,80.0,78.0,77.0,82.0,82.0,82.0,82.0,81.0,80.0,77.0,77.0,80.0,80.0,78.0,79.0,79.0,77.0,76.0,77.0,78.0,79.0,76.0,77.0,79.0,78.0,76.0,76.0,79.0,79.0,76.0,78.0,78.0,77.0,74.0,75.0,80.0,78.0,76.0,76.0,76.0,76.0,73.0,72.0,78.0,77.0,74.0,75.0,75.0,74.0,72.0,72.0,76.0,74.0,73.0,72.0,71.0,71.0,70.0,72.0,75.0,74.0,70.0,70.0,69.0,69.0,68.0,70.0,73.0,73.0,69.0,70.0,64.0,64.0,65.0,67.0,72.0,70.0,66.0,67.0,62.0,60.0,61.0,61.0,69.0,67.0,63.0,63.0,59.0,56.0,56.0,56.0,63.0,55.0,59.0,57.0,,,,,,,,,83.58333333333333,80.475,74.925,64.46875
8.0,,469.0,0.0229,0.741,0.613,-0.025,0.438,86.0,87.0,86.0,83.0,91.0,96.0,93.0,89.0,94.0,94.0,90.0,86.0,87.0,88.0,88.0,86.0,80.0,76.0,82.0,79.0,79.0,78.0,77.0,76.0,75.0,73.0,75.0,72.0,,,79.0,79.0,76.0,74.0,,,90.0,86.0,86.0,81.0,81.0,80.0,78.0,76.0,90.0,88.0,86.0,83.0,81.0,81.0,78.0,77.0,85.0,84.0,83.0,83.0,81.0,80.0,78.0,77.0,82.0,82.0,82.0,82.0,81.0,79.0,77.0,77.0,79.0,80.0,77.0,78.0,79.0,77.0,76.0,77.0,77.0,79.0,75.0,77.0,78.0,78.0,76.0,76.0,79.0,79.0,76.0,78.0,78.0,77.0,74.0,75.0,80.0,78.0,76.0,76.0,75.0,75.0,73.0,71.0,78.0,76.0,74.0,75.0,74.0,74.0,72.0,72.0,76.0,74.0,73.0,72.0,71.0,71.0,69.0,71.0,74.0,73.0,69.0,70.0,69.0,69.0,68.0,70.0,73.0,73.0,69.0,69.0,64.0,64.0,65.0,67.0,72.0,70.0,66.0,67.0,61.0,60.0,61.0,61.0,68.0,67.0,63.0,62.0,58.0,56.0,56.0,56.0,63.0,55.0,59.0,57.0,,,,,,,,,83.25,80.075,74.65,64.3125
9.0,,469.0,0.022,0.835,0.779,-0.025,0.412,86.0,87.0,86.0,83.0,90.0,95.0,92.0,88.0,93.0,94.0,90.0,86.0,86.0,87.0,88.0,86.0,80.0,76.0,81.0,78.0,78.0,77.0,76.0,76.0,75.0,73.0,75.0,72.0,,,79.0,79.0,76.0,74.0,,,89.0,86.0,85.0,81.0,81.0,80.0,78.0,76.0,90.0,87.0,85.0,83.0,81.0,81.0,78.0,77.0,85.0,83.0,83.0,83.0,81.0,79.0,77.0,77.0,81.0,81.0,81.0,81.0,81.0,79.0,77.0,77.0,79.0,80.0,77.0,78.0,79.0,77.0,76.0,76.0,77.0,78.0,75.0,77.0,78.0,78.0,76.0,76.0,78.0,78.0,75.0,77.0,77.0,77.0,74.0,75.0,79.0,78.0,75.0,76.0,75.0,75.0,73.0,71.0,78.0,76.0,74.0,75.0,74.0,73.0,72.0,72.0,75.0,74.0,73.0,72.0,71.0,71.0,69.0,71.0,74.0,73.0,69.0,69.0,69.0,69.0,68.0,69.0,72.0,72.0,68.0,69.0,64.0,64.0,65.0,67.0,71.0,70.0,66.0,66.0,61.0,60.0,61.0,61.0,68.0,67.0,63.0,62.0,58.0,56.0,56.0,56.0,62.0,54.0,58.0,57.0,,,,,,,,,82.86111111111111,79.8,74.4,64.03125
