experiment_id,file_name,category,task_category_zh,duration,event_time_sec,usable_for_warning,usable_for_evolution,track,evolution_role
10,10_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,879.0,20.0,False,True,evolution,post_fire
11,11_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1111.0,20.0,False,True,evolution,post_fire
12,12_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,875.0,20.0,False,True,evolution,post_fire
13,13_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1000.0,20.0,False,True,evolution,post_fire
14,14_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,738.0,20.0,False,True,evolution,post_fire
15,15_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,626.0,20.0,False,True,evolution,post_fire
16,16_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,459.0,20.0,False,True,evolution,post_fire
17,17_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,415.0,20.0,False,True,evolution,post_fire
18,18_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,614.0,20.0,False,True,evolution,post_fire
19,19_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,582.0,20.0,False,True,evolution,post_fire
1,1_clean.csv,complete_full,完整过程·预警主任务,363.0,136.0,True,True,evolution,full_process
20,20_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,788.0,20.0,False,True,evolution,post_fire
21,21_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,718.0,20.0,False,True,evolution,post_fire
22,22_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1057.0,20.0,False,True,evolution,post_fire
23-10,23-10_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1415.0,20.0,False,True,evolution,post_fire
23-11,23-11_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1042.0,20.0,False,True,evolution,post_fire
23-12,23-12_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1100.0,20.0,False,True,evolution,post_fire
